route_id,start_lat,start_lon,end_lat,end_lon,distinct_cyclists,days_active,popularity_rating,avg_speed,avg_duration,route_type,has_bike_lane
R00001,51.49485401188473,-0.15928670711613804,51.48357056837359,-0.1105297005791102,110,41,2,16.4,32.9,Exercise,True
R00002,51.552471430640985,-0.12360990526216419,51.4820978799072,-0.09813186028086276,25,196,4,18.4,26.8,Leisure,False
R00003,51.53059939418114,-0.09050541641235917,51.548025458052095,-0.1527532101207501,68,7,5,27.7,34.7,Exercise,False
R00004,51.5172658484197,-0.10457751135904388,51.482354619984946,-0.11531259003930011,169,159,3,20.6,21.0,Leisure,False
R00005,51.47300186404424,-0.09714388521385503,51.48459497261286,-0.12062540168562513,31,132,9,20.0,20.1,Commute,False
R00006,51.47299945203362,-0.11192166332892826,51.53333982624179,-0.09451696232117289,315,351,5,16.1,25.5,Leisure,False
R00007,51.46320836121682,-0.10857234354821475,51.502373984245054,-0.08719129395187394,289,232,2,23.2,40.5,Commute,False
R00008,51.54401761457749,-0.09288043484346807,51.53507105569551,-0.17658432285226133,152,227,3,12.2,9.5,Exercise,False
R00009,51.51751150117432,-0.15283319911408141,51.46393661575644,-0.11039800809412073,285,217,9,12.8,37.8,Commute,False
R00010,51.5282072577796,-0.12885750363568596,51.50615711936734,-0.1726164200880271,330,31,7,21.6,21.7,Exercise,False
R00011,51.45945844942958,-0.15567905581803979,51.46076136001833,-0.1229141334922644,323,22,2,17.5,39.6,Commute,False
R00012,51.554390985216195,-0.07903319920033529,51.463665320345534,-0.14903672709563218,168,188,9,27.3,37.7,Exercise,False
R00013,51.540644264080036,-0.08339406603133867,51.54804374533443,-0.14712234004778588,390,335,4,26.5,20.9,Mixed,False
R00014,51.478633911067824,-0.17385731886314942,51.471324537111755,-0.14250414965476435,410,135,9,23.4,33.7,Leisure,False
R00015,51.47558249672071,-0.10724248274843115,51.51064206822752,-0.11567075509503899,228,48,2,25.1,13.9,Leisure,False
R00016,51.47574045098534,-0.08527516825843341,51.49850956026007,-0.1443950034331231,276,342,10,22.7,41.2,Mixed,True
R00017,51.48782422429595,-0.15974246548726664,51.49213433262588,-0.10453009494097196,150,242,4,14.0,23.0,Leisure,False
R00018,51.50987564316322,-0.12100547694473705,51.54738333456872,-0.13734726144261303,457,40,5,24.2,24.9,Commute,False
R00019,51.50059450186421,-0.08625117024119582,51.459582339677546,-0.17096467996900416,442,351,2,15.4,34.1,Commute,False
R00020,51.4865229140198,-0.17440540214142014,51.523778968617556,-0.09942401575158928,360,51,10,17.2,38.4,Exercise,False
R00021,51.518585289472234,-0.10805797327531601,51.55373944342135,-0.1492241675407294,34,140,1,25.1,16.7,Exercise,True
R00022,51.47134938606521,-0.14806509926274494,51.51341681834618,-0.13452331204007373,49,27,7,20.6,32.5,Commute,True
R00023,51.48661446485352,-0.08536038046234695,51.5510822462033,-0.10925561167780985,279,128,10,25.8,22.5,Commute,True
R00024,51.49403618432937,-0.08069417548346322,51.4626257879286,-0.14455438428512882,475,76,1,15.4,21.6,Mixed,False
R00025,51.503006998421704,-0.08337335108865661,51.49927933190742,-0.17214143438532845,38,358,8,21.7,33.5,Commute,False
R00026,51.5359175961393,-0.13037857833425362,51.483415779096205,-0.14040789529871864,145,54,3,13.3,22.3,Leisure,False
R00027,51.47736737821583,-0.09159573490106865,51.53048209649807,-0.08335514173056965,431,45,10,22.3,20.8,Commute,False
R00028,51.50882344384136,-0.09334506014649296,51.55552970904972,-0.11362656027014419,322,293,6,24.2,38.9,Exercise,False
R00029,51.5166414568862,-0.14588995267567445,51.483053006244425,-0.1106520851332793,378,16,7,21.4,11.7,Commute,True
R00030,51.462045041272,-0.09490845258493226,51.5228174601474,-0.11457178463623602,225,36,10,16.3,33.0,Exercise,True
R00031,51.51815448519014,-0.17409923652845075,51.47720976327597,-0.15790078610405633,360,250,1,12.5,17.2,Commute,False
R00032,51.47445241236873,-0.1181730121517947,51.513933025457156,-0.135966613589772,26,280,6,13.9,8.6,Exercise,False
R00033,51.46390515929853,-0.1547991162712297,51.50379324866883,-0.10270602016366817,184,94,7,22.0,14.2,Exercise,False
R00034,51.552288553725326,-0.16574331142227214,51.55460053296315,-0.1676627102446841,440,250,6,27.0,30.4,Commute,False
R00035,51.55396320330745,-0.1701046798370791,51.51825272726964,-0.15001472239102878,371,335,4,15.3,34.2,Leisure,False
R00036,51.53823973481164,-0.10817112241218603,51.49235063720868,-0.15016808915341465,424,21,1,23.8,8.8,Leisure,True
R00037,51.48786137691734,-0.1438125036231934,51.468809578488795,-0.1345981072405494,333,10,9,25.9,9.3,Commute,False
R00038,51.467167211400636,-0.10532332284712385,51.47252468287349,-0.07976312590578148,235,197,4,20.3,41.4,Exercise,False
R00039,51.52582330265121,-0.17126436592010577,51.47993169299512,-0.17104974533161782,407,174,7,22.7,10.7,Commute,False
R00040,51.501415249373956,-0.14627096621693897,51.482496666134026,-0.1259299005619405,42,15,7,25.0,41.1,Exercise,True
R00041,51.469603823484476,-0.12385087076246629,51.54246160578411,-0.15986353179877896,74,115,2,16.2,16.4,Commute,False
R00042,51.506917691011125,-0.09872768351610364,51.51352227882825,-0.08073234545902558,120,143,1,16.8,35.4,Commute,False
R00043,51.46083885211152,-0.145924749706793,51.50973909113743,-0.1664696495272536,243,160,8,12.0,19.5,Commute,True
R00044,51.548332040207875,-0.1152108623562991,51.46887688718692,-0.13743989976384088,339,215,8,27.4,39.8,Leisure,False
R00045,51.48327799816,-0.08920222517638128,51.543413969334935,-0.10401150151653939,445,278,7,26.7,33.9,Leisure,True
R00046,51.523652228435395,-0.11621368118176954,51.52968143032084,-0.10734455719725547,152,149,8,24.2,22.9,Exercise,False
R00047,51.48857110760894,-0.15450405252463664,51.46416683619,-0.13552713631060678,13,105,3,13.3,10.8,Commute,False
R00048,51.50940680211778,-0.1753599218443462,51.52818350972297,-0.14314758320472817,292,314,2,19.2,35.1,Commute,False
R00049,51.512071027934326,-0.090790112609907,51.51175382173426,-0.13803876214471295,392,75,7,13.6,30.8,Exercise,False
R00050,51.47588544555255,-0.1756730589149613,51.465572534574676,-0.15137237368413609,54,253,8,12.3,8.1,Exercise,True
R00051,51.55435846277645,-0.09032983273158006,51.50323006415286,-0.15726670612932003,342,267,1,21.9,8.3,Commute,True
